Class,IndexHarmonicity_ML,FirstDerivative_Moment3rd_SigComplete_Magnitude,InterQuartileRange_SigComplete_VT,Std_SigComplete_ML,RelativePower_Below5Hz_AP,Moment2ndPSD_Plom_AP,ModeSignal_AP,RelativePower_BelowDomFr_Magnitude,CentroidSpMax_Magnitude
0,-1.0693296529799554,0.1353010899469781,-0.4538106134586097,-0.4293529815510152,-0.5051712248098409,-0.3815347847364957,1.4258150558249194,-0.6769162708241119,-0.0923029414990357
1,1.6818370814664638,1.55921710851189,-0.6107531338643675,-0.7700638715761415,-0.370701042751397,0.916357556205878,0.7900647738569933,0.5229403561298942,2.227280912657012
0,1.6721108403463107,-0.5232022947879589,-0.2228284853680902,-0.5115017878255176,-0.6116158529979875,-0.4565335068792673,-0.4861810326228017,-0.8628252909271145,-0.1085420793502996
1,1.0071418015917868,-0.5089659872984615,1.3722474900911772,-0.4791115818311792,-0.001430104146482,-0.4517235539596625,-0.956277960299073,0.2469582124979923,1.621541940620614
0,0.2525618823402351,-0.0228030050428979,-0.961818703334856,-0.6103765419574787,0.9196769601775384,-0.4519135023070958,0.405789893320738,-0.7471316669555939,-0.4736312456133883
1,-0.906996325824578,0.1335635045644846,-0.7275723293731424,0.2652769369683168,-1.2973336754552882,3.07421957324282,-1.7946838303867676,-0.4794927598480266,-0.2775051870186606
0,0.8081792425462817,-1.688993135720776,-0.6942872343301342,0.8697642881703326,1.3970994002964008,-0.4538035362552988,0.1568049675930892,-0.8932665979444225,-1.8976630490301776
1,-0.8719642496844301,-0.273249831566927,2.507555036384854,-0.6962389673178877,-1.279988432299459,-0.0879118104935955,-0.7573982508072042,0.6114047921647967,0.0884142013692242
0,-0.2679252520725592,0.590968531078661,-0.9159887104974196,-0.6341197295013576,1.7874009191374656,-0.4542054091029377,-0.6378952198361948,-0.7818157023639329,-0.5263968142596879
1,-0.984466721205934,0.2528680544129193,-0.1791559261409311,-0.8327408576884752,-0.5739284398881951,-0.4512958239741113,1.935458595874723,2.500429909471094,0.0020394594417963
0,-0.7057856852093022,-1.5005563420835786,0.442409213458215,2.472429651789656,1.1183868140606616,-0.4342123688250307,0.1204702702766642,-0.5812394247842128,-0.4291434293037967
1,-0.6153629613143203,1.8458523079856668,0.4440033964333016,1.356035442320747,-0.5823953213234119,-0.3674428329152023,-0.2019672627950791,1.1409544433836674,-0.1340917680135993
