Class,DominantFreq_ML,HarmonicRatio_AP,Range_SigComplete_AP,RelativePower_BelowDomFr_VT,RelativePower_5To10Hz_ML,ZeroCrossingRate_ML,Moment2ndPSD_Plom_AP,RelativePower_Below5Hz_Magnitude,ModeSignal_Magnitude
0,-0.9960886364675076,-1.6806147076876954,-0.0455072151865739,-1.1724483994796848,-0.4424160781105228,-0.8197907458792226,-0.8988079807458682,0.964929203765602,1.1405689500309313
1,0.932871320082096,2.1116373749582493,-0.0702197722912912,-0.4912804610166882,0.1239741231014358,0.6109313039942464,-1.2967927982969314,-0.1325608439596136,-0.1769692319366006
0,1.4594050210290124,0.0860349189611988,0.2333954917469587,-0.5927901608452937,1.5775665692679923,-0.4678314409282699,0.8473339045686923,-0.5928452897316671,-0.386438531383032
1,-1.038510782989297,-0.3928375481926536,-0.166473763631877,0.3810145824228497,0.5441019426430155,0.1252065028451916,-0.586626489159701,-1.1110371076704155,0.0637327696979794
0,0.1967223069098669,0.1719462618401644,0.0818263714188825,0.192401200546579,0.3189019399903571,0.7554378849422557,2.406501927816822,0.941985802367174,0.7720132992238005
1,-0.2075357952389503,-0.1096664918174006,0.8021912615839368,0.7960126401413179,-0.0688638697007122,0.4297333060459971,-0.0183487377182505,-0.7936598675597134,-0.0659887475339931
0,-0.7864733242421948,-0.1637865739221685,-0.3613236957383443,-0.6026231135120996,-0.9789965122198891,-0.9647275601237976,-0.2354434425852754,1.9985293260604289,-2.1560542064111163
1,1.110046167320158,0.6712823216872835,-1.1964840971685908,0.8163771871085648,-0.2807952301287727,2.649201455217668,-0.4698918800723901,-0.5021179680863629,-0.9439919092746866
0,1.439441657959935,-1.7863453120580426,2.748700020383399,-1.0299474788832113,-0.7281923507903574,-1.0284765763112749,0.7150467530633232,0.9783719246294164,0.5273107963938586
1,-1.1757589040892042,0.4520831318915118,-0.4313769162645091,0.7636939880454655,-1.228274046630412,-0.9486172334118628,-1.1945299485551784,-1.64886902595829,1.828184621013066
0,0.2765757591861765,-0.1464397226613379,-1.3827952576835496,-1.2768761524051837,2.1854319522311823,-0.1662682447972505,0.0701745815966136,0.0504654184587587,0.2338857486433344
1,-1.2106947894600897,0.7867063470008849,-0.2119324271684379,2.216466167877224,-1.022438439653297,-0.1747986515936591,0.661384110088142,-0.1531915723153318,-0.836253558463538
